person,year,month,age_years,age_decimal,category,event_short,description_en,source
Mozart,1787,12,31,31.92,career,Appointed Imperial Chamber Composer,Emperor Joseph II appoints Mozart as Imperial Chamber Composer in Vienna — a prestigious sinecure replacing the late Gluck,Wikipedia
Mozart,1788,6,32,32.42,achievement,Last three symphonies in six weeks,Composes symphonies No.39 in E-flat No.40 in G minor and No.41 Jupiter in C major — within six weeks. A remarkable creative burst,Opera Philadelphia
Mozart,1789,4,33,33.25,travel,Berlin tour seeking patronage,Travels to Dresden Leipzig and Berlin. King Frederick William II reportedly offers Kapellmeister position — Mozart declines out of loyalty to Vienna,Wikipedia
Mozart,1790,1,34,34.0,personal,Financial crisis deepens,Sends desperate letters to fellow Freemason Michael Puchberg begging for loans. The family is in serious debt — concert income has dried up,Caltech Mozart Project
Mozart,1791,1,35,35.0,career,Appointed assistant Kapellmeister at St. Stephens,Appointed unpaid assistant Kapellmeister at St. Stephens Cathedral — contracted to succeed to the paid role; financial hope at last,Caltech Mozart Project
Mozart,1791,7,35,35.5,achievement,The Magic Flute completed,Completes Die Zauberflote K.620 for the Freihaustheater. Premieres September 30 to great public success. Mozart conducts the first performances,Wikipedia
Mozart,1791,9,35,35.67,misc,Anonymous Requiem commission arrives,An anonymous messenger arrives with a commission for a Requiem — sent by Count von Walsegg who intends to pass it off as his own. Mozart grows obsessed with finishing it,Wikipedia
Mozart,1791,9,35,35.67,career,La Clemenza di Tito premieres in Prague,La Clemenza di Tito K.621 premieres in Prague on September 6 for the coronation of Leopold II as King of Bohemia — composed in just eighteen days,Salzburg Info
Mozart,1791,11,35,35.83,personal,Falls gravely ill,In November Mozarts health collapses rapidly. Bedridden he works on the Requiem until his final days convinced he is writing his own funeral mass,Wikipedia
Mozart,1791,12,35,35.92,death,Dies in Vienna,Dies in Vienna December 5 1791 aged 35. Cause recorded as severe miliary fever — modern scholars debate whether it was rheumatic fever kidney disease or other illness. The Requiem remains unfinished,Wikipedia
